no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
1,0,1,0,0,0.0,0,1,2018,10,17,4,0.0,0.0,0.0,150.0,2,1
2,0,2,3,3,0.0,0,196,2018,9,4,4,0.0,0.0,0.0,96.05,1,1
1,0,0,2,0,0.0,0,188,2018,6,15,4,0.0,0.0,0.0,130.0,0,0
2,0,0,1,3,0.0,0,17,2018,12,10,4,0.6931471805599453,0.0,1.791759469228055,95.0,0,1
2,0,0,3,0,0.0,4,146,2018,8,9,3,0.0,0.0,0.0,113.56,0,1
2,0,1,3,3,0.0,0,110,2018,5,5,4,0.0,0.0,0.0,101.58,1,1
2,0,1,2,0,0.6931471805599453,0,68,2018,3,18,4,0.0,0.0,0.0,105.3,0,1
2,0,2,1,0,0.0,3,73,2018,4,9,4,0.0,0.0,0.0,115.8,1,1
2,0,0,1,0,0.0,3,92,2018,5,19,4,0.0,0.0,0.0,149.4,1,1
2,0,2,5,0,0.0,0,171,2018,8,30,4,0.0,0.0,0.0,111.59,0,0
2,1,0,2,0,0.6931471805599453,0,134,2018,8,4,4,0.0,0.0,0.0,130.5,2,1
2,0,0,2,1,0.0,0,320,2018,8,18,4,0.0,0.0,0.0,115.0,1,0
2,0,0,4,0,0.0,0,118,2018,4,13,4,0.0,0.0,0.0,90.95,1,1
2,0,0,3,0,0.0,0,30,2018,11,17,4,0.0,0.0,0.0,76.08,1,1
2,2,1,3,0,0.0,5,30,2018,12,22,4,0.0,0.0,0.0,156.9,0,1
2,0,1,0,3,0.0,0,189,2018,10,23,4,0.0,0.0,0.0,85.5,2,1
3,0,1,2,0,0.0,3,55,2018,5,13,4,0.0,0.0,0.0,159.3,2,1
1,0,0,4,0,0.0,0,55,2018,12,13,4,0.0,0.0,0.0,74.8,2,1
2,0,0,1,0,0.0,0,16,2017,10,31,4,0.0,0.0,0.0,95.0,1,1
2,0,0,3,0,0.0,0,24,2017,10,8,4,0.0,0.0,0.0,107.0,1,1
2,0,0,3,0,0.0,0,8,2018,2,16,3,0.0,0.0,0.0,64.0,0,1
2,0,1,4,0,0.6931471805599453,0,10,2017,11,2,4,0.0,0.0,0.0,82.95,0,1
2,0,1,3,0,0.0,3,0,2017,9,21,4,0.0,0.0,0.0,155.0,1,1
2,0,0,1,3,0.0,0,12,2018,6,30,4,0.0,0.0,0.0,101.68,1,1
2,0,2,1,0,0.0,0,32,2017,9,5,4,0.0,0.0,0.0,94.5,3,1
2,0,0,2,0,0.0,0,182,2018,9,30,4,0.0,0.0,0.0,117.9,2,0
2,0,1,0,3,0.0,0,1,2018,6,27,4,0.0,0.0,0.0,127.0,1,1
2,0,0,3,3,0.0,0,122,2018,6,16,4,0.0,0.0,0.0,116.1,2,1
2,0,2,3,0,0.0,0,40,2018,6,30,4,0.0,0.0,0.0,117.9,1,1
2,2,2,2,0,0.0,1,116,2018,6,26,4,0.0,0.0,0.0,184.24,1,0
3,0,2,2,0,0.6931471805599453,3,123,2018,8,13,4,0.0,0.0,0.0,155.7,1,1
3,0,2,5,0,0.0,3,40,2018,4,22,4,0.0,0.0,0.0,135.76,0,0
2,1,2,5,0,0.0,0,105,2018,11,12,4,0.0,0.0,0.0,102.83,3,1
2,0,0,1,0,0.0,0,443,2018,4,29,4,0.0,0.0,0.0,65.0,0,0
2,0,2,3,0,0.0,0,2,2017,11,14,4,0.0,0.0,0.0,103.0,1,1
2,0,0,3,0,0.0,0,317,2018,9,1,4,0.0,0.0,0.0,106.2,1,0
2,0,0,2,1,0.0,0,286,2018,9,16,3,0.0,0.0,0.0,58.5,0,1
2,0,1,3,0,0.0,0,68,2018,3,10,4,0.0,0.0,0.0,73.95,0,0
2,0,0,3,0,0.0,0,148,2018,5,5,4,0.0,0.0,0.0,105.3,0,1
3,0,2,0,0,0.0,3,68,2018,4,24,4,0.0,0.0,0.0,133.2,2,1
2,0,0,2,0,0.0,0,30,2018,3,30,3,0.0,0.0,0.0,85.5,0,1
1,0,0,1,0,0.0,0,14,2018,11,3,4,0.0,0.0,0.0,112.0,1,0
2,2,0,2,0,0.0,5,110,2018,10,14,4,0.0,0.0,0.0,190.8,0,0
1,0,2,3,0,0.0,0,117,2018,6,5,3,0.0,0.0,0.0,110.0,0,1
2,0,1,4,0,0.0,3,85,2018,7,13,4,0.0,0.0,0.0,91.48,1,1
2,0,0,2,3,0.0,0,1,2018,10,20,4,0.0,0.0,0.0,135.0,2,1
1,0,1,2,0,0.0,0,25,2018,10,17,4,0.0,0.0,0.0,129.0,2,1
2,0,2,4,3,0.0,0,289,2018,12,28,4,0.0,0.0,0.0,70.55,2,0
2,0,1,4,0,0.0,3,28,2017,10,19,3,0.0,0.0,0.0,75.0,0,1
1,0,0,4,3,0.0,0,80,2018,3,29,4,0.0,0.0,0.0,72.25,0,1
2,0,0,1,0,0.0,3,11,2017,10,9,4,0.0,0.0,0.0,155.0,2,1
2,1,1,0,0,0.0,0,162,2018,7,25,4,0.0,0.0,0.0,121.5,2,0
2,0,2,5,0,0.0,0,155,2018,6,28,4,0.0,0.0,0.0,90.95,2,1
1,0,2,2,0,0.0,0,82,2018,5,22,4,0.0,0.0,0.0,109.65,0,1
3,0,2,4,0,0.0,3,27,2018,4,15,4,0.0,0.0,0.0,142.72,0,0
1,0,1,2,0,0.0,0,13,2018,5,9,3,0.0,0.0,0.0,90.0,0,1
2,0,0,2,0,0.0,0,245,2018,6,17,4,0.0,0.0,0.0,75.0,0,0
2,0,0,2,0,0.0,0,11,2018,11,18,4,0.0,0.0,0.0,111.0,1,0
2,0,2,2,0,0.0,0,266,2018,10,30,4,0.0,0.0,0.0,86.7,2,1
2,0,1,0,0,0.0,0,39,2018,3,28,4,0.0,0.0,0.0,117.9,1,1
1,0,0,2,0,0.0,0,13,2018,6,1,1,0.6931471805599453,1.3862943611198906,1.791759469228055,0.0,1,1
2,0,0,4,3,0.0,0,112,2018,5,4,4,0.0,0.0,0.0,101.58,1,1
2,0,1,2,3,0.0,0,88,2018,4,8,4,0.0,0.0,0.0,58.9,1,1
2,0,0,1,0,0.0,0,56,2018,6,8,3,0.0,0.0,0.0,120.0,0,1
2,0,2,3,0,0.0,3,73,2018,4,7,4,0.0,0.0,0.0,107.1,0,0
2,0,1,1,0,0.0,0,80,2018,5,2,4,0.0,0.0,0.0,126.9,1,1
2,0,0,3,0,0.0,3,130,2018,9,29,4,0.0,0.0,0.0,139.5,2,0
2,0,1,3,3,0.0,0,69,2018,4,4,4,0.0,0.0,0.0,80.75,1,1
2,0,0,2,1,0.0,0,273,2017,7,17,4,0.0,0.0,0.0,109.0,0,0
2,0,0,1,1,0.0,0,55,2018,4,6,3,0.0,0.0,0.0,104.0,0,1
1,0,0,3,0,0.0,0,4,2018,11,1,2,0.6931471805599453,0.6931471805599453,1.791759469228055,65.0,1,1
2,0,0,3,0,0.0,3,97,2018,5,24,4,0.0,0.0,0.0,140.4,0,1
2,0,0,3,0,0.0,0,44,2018,2,17,3,0.0,0.0,0.0,75.0,0,1
2,0,0,1,3,0.0,0,31,2018,4,14,4,0.0,0.0,0.0,94.5,0,0
2,0,1,0,3,0.0,0,0,2018,6,5,4,0.0,0.0,0.0,109.0,0,1
2,0,2,2,0,0.0,0,62,2018,11,12,4,0.0,0.0,0.0,105.0,2,1
2,0,2,2,0,0.0,3,86,2018,4,17,4,0.0,0.0,0.0,107.95,1,1
3,0,2,2,0,0.0,6,3,2018,10,7,4,0.0,0.0,0.0,215.6,1,1
2,0,1,1,3,0.0,0,197,2018,8,1,4,0.0,0.0,0.0,85.5,1,1
2,0,0,2,0,0.0,0,143,2018,7,12,4,0.0,0.0,0.0,105.3,2,1
1,0,2,1,1,0.0,0,23,2018,1,2,4,0.0,0.0,0.0,1.0,0,1
2,0,0,2,0,0.0,3,8,2018,6,15,4,0.0,0.0,0.0,156.0,0,0
1,0,0,2,0,0.0,0,13,2018,11,16,4,0.0,0.0,0.0,73.15,1,1
2,0,1,2,0,0.0,0,280,2018,9,19,4,0.0,0.0,0.0,110.0,0,0
2,1,1,0,3,0.0,0,11,2017,9,13,4,0.0,0.0,0.0,87.4,1,1
2,0,0,2,0,0.0,0,317,2018,9,15,4,0.0,0.0,0.0,120.0,0,0
2,0,1,2,3,0.0,0,185,2018,12,16,4,0.0,0.0,0.0,79.2,0,0
2,0,1,3,0,0.0,0,160,2018,6,30,4,0.0,0.0,0.0,90.95,1,1
2,0,0,4,0,0.0,0,104,2018,10,18,4,0.0,0.0,0.0,91.48,1,1
2,1,0,1,0,0.0,0,11,2018,11,5,4,0.0,0.0,0.0,150.0,1,0
2,0,0,1,3,0.0,0,2,2018,3,22,4,0.0,0.0,0.0,89.0,0,1
2,0,1,4,3,0.0,0,14,2018,8,17,4,0.0,0.0,0.0,91.43,1,1
2,0,0,2,0,0.0,0,22,2018,5,20,3,0.0,0.0,0.0,140.0,0,1
1,1,2,5,3,0.0,0,37,2017,10,24,4,0.0,0.0,0.0,87.78,0,1
2,0,0,2,1,0.0,0,292,2018,7,21,4,0.0,0.0,0.0,115.0,0,0
2,0,0,3,0,0.0,0,11,2017,9,9,4,0.0,0.0,0.0,80.85,1,1
2,0,1,3,0,0.0,0,86,2018,3,31,4,0.0,0.0,0.0,82.45,1,1
2,0,0,1,3,0.0,0,109,2018,10,11,4,0.0,0.0,0.0,108.0,0,0
2,0,1,1,0,0.0,3,72,2018,4,2,4,0.0,0.0,0.0,96.3,1,1
2,0,1,5,0,0.0,0,196,2018,8,22,4,0.0,0.0,0.0,99.45,0,0
2,0,0,2,0,0.0,3,56,2018,5,13,4,0.0,0.0,0.0,140.4,1,1
2,0,1,3,0,0.0,0,189,2018,8,8,3,0.0,0.0,0.0,72.25,0,1
2,0,1,4,0,0.0,3,126,2018,8,15,4,0.0,0.0,0.0,126.0,0,1
2,0,2,3,0,0.0,0,303,2018,8,19,4,0.0,0.0,0.0,78.0,0,0
1,0,2,2,0,0.0,3,81,2018,11,6,4,0.0,0.0,0.0,146.6,1,1
2,0,1,2,0,0.0,0,54,2018,10,10,4,0.0,0.0,0.0,118.8,0,0
1,0,0,1,0,0.0,0,15,2018,10,6,4,0.0,0.0,0.0,145.0,0,0
2,0,0,4,0,0.0,0,86,2018,4,6,4,0.0,0.0,0.0,84.58,0,0
2,0,1,2,1,0.0,0,161,2018,3,25,4,0.0,0.0,0.0,130.0,0,0
2,0,4,10,0,0.0,3,147,2018,8,3,4,0.0,0.0,0.0,118.88,1,0
2,0,1,2,0,0.0,0,92,2018,5,30,3,0.0,0.0,0.0,101.52,0,1
2,0,0,1,0,0.0,0,87,2017,9,11,2,0.0,0.0,0.0,100.0,0,0
2,0,2,1,0,0.0,0,109,2018,3,20,3,0.0,0.0,0.0,58.0,0,1
2,0,0,4,0,0.0,0,127,2018,3,23,3,0.0,0.0,0.0,61.5,2,1
2,0,1,2,1,0.0,0,418,2018,9,26,4,0.0,0.0,0.0,107.0,0,0
2,0,1,4,3,0.0,0,156,2018,8,24,4,0.0,0.0,0.0,87.3,1,1
2,0,0,2,0,0.0,0,80,2017,7,16,4,0.0,0.0,0.0,76.5,1,0
2,0,2,2,3,0.0,0,211,2018,12,16,4,0.0,0.0,0.0,63.75,0,0
2,0,1,2,0,0.0,0,273,2018,5,13,4,0.0,0.0,0.0,95.0,0,0
2,0,2,1,0,0.0,0,58,2018,11,19,3,0.0,0.0,0.0,75.0,1,1
2,0,0,3,0,0.0,0,433,2018,9,8,4,0.0,0.0,0.0,70.0,0,0
2,0,1,3,0,0.0,0,111,2018,5,2,4,0.0,0.0,0.0,101.58,1,1
2,0,2,3,0,0.0,0,34,2018,8,21,3,0.0,0.0,0.0,85.0,0,1
2,0,2,4,0,0.0,0,17,2018,12,3,4,0.0,0.0,0.0,98.39,0,1
1,0,0,0,0,0.0,0,4,2018,2,27,1,0.0,0.0,0.0,0.0,1,1
2,0,0,3,0,0.0,0,6,2017,9,22,4,0.0,0.0,0.0,106.07,1,1
2,0,1,1,0,0.0,0,32,2018,7,18,3,0.0,0.0,0.0,105.0,1,1
2,0,0,1,0,0.0,0,4,2017,9,22,4,0.0,0.0,0.0,145.0,2,1
3,0,2,1,0,0.0,0,195,2018,8,13,4,0.0,0.0,0.0,106.03,1,0
2,0,2,2,0,0.0,0,119,2018,8,13,4,0.0,0.0,0.0,114.3,1,1
1,0,1,1,3,0.0,0,13,2018,12,5,4,0.0,0.0,0.0,88.0,0,1
2,0,0,2,0,0.0,0,59,2017,10,15,4,0.0,0.0,0.0,89.25,2,1
2,1,2,5,0,0.0,3,78,2018,3,20,4,0.0,0.0,0.0,86.32,1,1
2,0,0,3,0,0.0,0,335,2018,10,13,3,0.0,0.0,0.0,90.0,1,1
2,0,2,5,0,0.0,0,103,2017,8,22,4,0.0,0.0,0.0,55.96,0,1
1,0,0,2,3,0.0,0,0,2018,6,8,4,0.0,0.0,0.0,109.0,1,1
2,0,0,1,0,0.0,0,118,2018,3,1,3,0.0,0.0,0.0,86.0,0,1
2,0,1,5,0,0.0,0,56,2018,9,5,4,0.0,0.0,0.0,118.95,0,1
2,0,0,2,0,0.0,0,107,2018,6,10,3,0.0,0.0,0.0,130.0,1,1
2,0,1,3,3,0.0,0,70,2018,4,14,4,0.0,0.0,0.0,90.56,1,1
2,0,0,2,0,0.0,0,76,2018,4,1,4,0.0,0.0,0.0,87.3,1,1
2,2,2,2,0,0.0,5,144,2018,5,27,4,0.0,0.0,0.0,177.65,1,0
1,2,2,2,0,0.0,5,4,2017,9,19,4,0.0,0.0,0.0,200.75,2,1
2,1,0,2,0,0.0,0,15,2018,3,18,4,0.0,0.0,0.0,127.0,1,1
1,0,1,2,0,0.0,0,32,2018,2,5,4,0.0,0.0,0.0,72.9,0,0
3,0,1,1,0,0.0,3,49,2018,5,7,4,0.0,0.0,0.0,159.3,0,0
2,1,1,3,0,0.0,0,77,2018,5,12,4,0.0,0.0,0.0,135.15,1,1
1,0,0,2,0,0.0,0,22,2018,10,28,3,0.0,0.0,0.0,90.0,0,1
2,0,1,0,3,0.0,0,0,2017,10,18,4,0.0,0.0,0.0,114.0,0,1
2,1,0,1,0,0.6931471805599453,0,58,2018,6,21,4,0.0,0.0,0.0,125.1,1,1
2,0,2,6,3,0.0,0,4,2017,8,14,4,0.0,0.0,0.0,95.13,1,1
2,0,0,2,0,0.0,4,117,2018,4,29,4,0.0,0.0,0.0,105.84,0,0
2,0,1,3,0,0.0,0,36,2018,12,26,4,0.0,0.0,0.0,102.0,0,0
2,0,2,2,3,0.0,0,35,2018,12,2,4,0.0,0.0,0.0,74.8,2,1
2,0,1,0,3,0.0,0,31,2018,4,24,4,0.0,0.0,0.0,94.5,0,0
2,0,2,4,3,0.0,0,79,2018,6,16,4,0.0,0.0,0.0,120.6,0,1
2,0,1,2,0,0.0,0,1,2017,10,9,4,0.0,0.0,0.0,139.33,0,1
2,0,0,2,0,0.0,0,21,2017,9,3,4,0.0,0.0,0.0,105.0,0,1
2,0,0,2,3,0.0,0,12,2018,9,14,2,0.0,0.0,0.0,100.0,1,1
2,0,1,0,0,0.0,0,33,2018,2,8,4,0.0,0.0,0.0,80.3,1,1
1,0,0,2,0,0.0,0,164,2017,10,2,3,0.0,0.0,0.0,100.0,0,1
2,0,0,3,0,0.6931471805599453,0,78,2018,3,24,4,0.0,0.0,0.0,105.3,1,1
2,0,0,4,0,0.0,3,18,2018,5,31,4,0.0,0.0,0.0,112.8,0,0
2,0,1,2,0,0.0,0,21,2018,8,15,4,0.0,0.0,0.0,151.0,0,0
1,0,1,3,0,0.0,0,0,2017,11,9,4,0.0,0.0,0.0,91.0,1,1
3,0,2,1,0,0.0,3,152,2018,8,13,4,0.0,0.0,0.0,146.7,1,0
2,0,2,3,0,0.0,0,43,2017,10,2,3,0.0,0.0,0.0,58.4,0,1
2,0,0,4,3,0.0,0,177,2018,7,26,4,0.0,0.0,0.0,80.75,1,0
2,0,1,1,3,0.0,0,47,2018,5,21,3,0.0,0.0,0.0,76.5,0,1
3,0,0,3,0,0.0,3,57,2018,9,7,4,0.0,0.0,0.0,140.13,0,1
2,0,2,4,3,0.0,0,60,2017,11,15,4,0.0,0.0,0.0,76.0,1,1
2,0,0,1,0,0.0,0,0,2017,9,16,4,0.0,0.0,0.0,200.0,0,1
2,0,0,2,1,0.0,0,102,2017,10,16,4,0.0,0.0,0.0,101.5,0,0
2,0,0,3,3,0.0,0,71,2018,10,18,4,0.0,0.0,0.0,108.0,1,1
3,0,2,3,1,0.0,3,111,2018,7,23,4,0.0,0.0,0.0,189.0,1,1
3,0,1,1,0,0.0,3,1,2018,6,11,4,0.0,0.0,0.0,166.0,3,1
2,0,1,1,3,0.0,0,4,2018,1,16,4,0.0,0.0,0.0,67.5,0,1
2,0,1,3,0,0.0,3,25,2017,9,14,4,0.0,0.0,0.0,78.54,1,1
1,0,2,2,0,0.0,0,209,2018,11,6,4,0.0,0.0,0.0,152.1,1,0
1,0,2,1,0,0.0,0,93,2018,10,15,4,0.0,0.0,0.0,115.0,0,0
2,0,2,5,3,0.0,0,53,2017,9,2,4,0.0,0.0,0.0,66.53,2,1
1,0,0,2,0,0.0,0,1,2017,8,12,1,0.6931471805599453,0.0,0.6931471805599453,0.0,1,1
1,0,2,1,0,0.0,0,4,2017,8,23,1,0.0,0.0,0.0,0.0,1,1
2,0,0,3,0,0.0,0,302,2018,12,29,4,0.0,0.0,0.0,90.3,2,0
2,0,0,2,0,0.0,0,122,2018,4,15,3,0.0,0.0,0.0,85.0,0,1
1,0,0,1,0,0.0,0,16,2018,3,11,2,0.0,0.0,0.0,75.0,0,1
2,0,2,4,0,0.0,0,28,2018,8,28,4,0.0,0.0,0.0,115.37,1,0
2,0,1,2,1,0.0,0,161,2018,3,25,4,0.0,0.0,0.0,130.0,0,0
3,0,0,2,0,0.0,3,57,2018,12,9,4,0.0,0.0,0.0,126.0,2,1
2,0,1,0,0,0.0,0,19,2018,6,12,4,0.0,0.0,0.0,94.35,1,1
3,0,2,4,0,0.0,3,109,2018,7,6,4,0.0,0.0,0.0,118.46,4,1
1,0,0,2,1,0.0,0,239,2018,6,15,4,0.0,0.0,0.0,90.6,0,0
1,0,2,1,0,0.0,0,33,2018,3,5,4,0.0,0.0,0.0,82.9,2,1
2,0,0,3,0,0.0,0,11,2017,8,18,4,0.0,0.0,0.0,95.33,1,1
3,0,2,5,0,0.0,3,40,2018,4,21,4,0.0,0.0,0.0,135.64,1,1
3,0,1,1,0,0.0,3,45,2018,6,18,3,0.0,0.0,0.0,122.4,0,1
2,0,1,3,3,0.0,0,41,2018,5,9,4,0.0,0.0,0.0,116.1,0,0
2,0,0,4,3,0.0,0,167,2018,6,28,4,0.0,0.0,0.0,62.18,0,0
2,0,0,4,3,0.0,0,62,2018,3,9,4,0.0,0.0,0.0,63.75,0,0
1,0,1,4,0,0.0,0,113,2018,9,7,4,0.0,0.0,0.0,118.8,0,0
2,0,0,2,3,0.6931471805599453,0,1,2018,8,10,4,0.0,0.0,0.0,167.0,0,1
2,2,2,2,0,0.0,5,84,2018,5,13,4,0.0,0.0,0.0,187.85,1,1
0,2,2,2,0,0.0,0,68,2018,4,24,4,0.0,0.0,0.0,108.38,1,0
2,0,0,1,0,0.0,1,9,2018,9,7,1,0.6931471805599453,0.0,1.3862943611198906,0.0,1,1
